_dataobs_,Pool,Horses,City_Town_Code,Approx_SQFT,Bedrooms_Plus,Year_Built,__Bedrooms,__Bathrooms,__of_Interior_Levels,Exterior_Stories,Elementary_School,Jr__High_School,High_School,Elem_School_Dist__,High_School_Dist__,Approx_Lot_SqFt,Dwelling_Styles,Loan_Type
19887,Private,N,Scottsdale,2000,4,1998,3,2,1,1,Black Mountain,Sonoran Trails,Cactus Shadows,93,93,16404,Detached,Conventional
19891,None,N,Scottsdale,1805,3,1961,3,2,1,1,Navajo,Mohave,Saguaro,48,48,8574,Detached,Conventional
19892,Both,N,Chandler,2730,5,1986,4,2.5,2,2,Kyrene del Cielo,Kyrene Aprende,Corona del Sol,28,213,9570,Detached,Conventional
19900,Community,N,Chandler,1548,3,2016,3,2,1,1,Haley Elementary,Santan Junior High,Perry,80,80,4480,Detached,Conventional
19902,None,N,Chandler,2010,4,2001,3,2,1,1,Jane D. Hull,Santan Junior High,Basha High,80,80,7592,Detached,Conventional
19903,None,N,Chandler,2336,4,2007,4,3,2,2,Navarrete,Willie & Coy Payne J,Basha High,80,80,4750,Detached,FHA
19906,None,N,Tempe,1388,3,1960,3,2,1,1,Flora Threw,Connolly,McClintock,3,213,6000,Detached,Conventional
19911,Private,N,Scottsdale,2941,6,2001,4,3,1,1,Pinnacle Peak,Mountain Trail,Pinnacle,69,69,7376,Detached,Conventional
19915,Community,N,Scottsdale,2318,4,1995,3,2,1,1,Black Mountain,Sonoran Trails,Cactus Shadows,93,93,8305,Detached,Conventional
19925,None,N,Chandler,2021,4,1998,4,2.5,2,2,Robert and Danell Ta,Bogle Junior High,Hamilton,80,80,7144,Detached,Conventional
19934,Private,N,Scottsdale,2522,4,1986,4,2.5,1,1,Desert Springs,Desert Shadows Scott,Horizon,69,69,11047,Detached,Conventional
19935,Private,N,Tempe,2535,4,1999,3,2.5,1,1,C. I. Waggoner,Kyrene Middle,Mountain Pointe,28,213,7296,Detached,Conventional
19936,Private,N,Tempe,3160,6,1988,5,3,2,2,C. I. Waggoner,Kyrene Middle,Corona del Sol,213,213,10001,Detached,Conventional
19963,None,N,Scottsdale,1511,3,1955,3,2,1,1,Tonalea,Supai,Coronado High,48,48,6753,Detached,Conventional
19964,None,N,Chandler,1824,4,2005,4,2,1,1,Haley Elementary,Santan Junior High,Perry,80,80,7020,Detached,Conventional
19966,Both,N,Tempe,1913,4,1985,3,3,2,2,Curry,Connolly,McClintock,3,213,4513,Attached,Conventional
19967,None,N,Chandler,1646,3,1984,3,2,2,2,Summit Academy,Summit Academy,Dobson,4,4,8102,Detached,Cash
19970,Both,N,Scottsdale,4637,5,1996,4,4.5,2,2,Desert Sun,Sonoran Trails,Cactus Shadows,93,93,28414,Detached,Other
19972,Private,N,Scottsdale,4184,4,2005,3,3.5,1,1,Black Mountain,Sonoran Trails,Cactus Shadows,93,93,38718,Detached,Other
19973,Private,N,Scottsdale,3567,8,1984,5,3.5,2,2,Laguna,Mountainside,Desert Mountain High,48,48,12013,Detached,Conventional
19977,Private,N,Chandler,3276,6,2009,4,2.5,2,2,Ira A. Fulton,Bogle Junior High,Hamilton,80,80,11367,Detached,Conventional
19985,Community,N,Tempe,2156,3,1976,3,2,1,1,Rover,Fees,Marcos De Niza,213,213,14501,Detached,Conventional
19991,None,N,Chandler,2410,4,2017,4,3,1,1,CTA Humphrey,Willis,Perry,80,80,6600,Detached,Cash
19997,None,N,Scottsdale,1838,3,1961,3,2,1,1,Navajo,Mohave,Saguaro High,48,48,8780,Detached,Conventional
20004,Private,N,Tempe,3016,5,1980,5,3,1,1,Kyrene del Cielo,Kyrene Aprende,Corona del Sol,28,213,16805,Detached,Cash
20006,Private,N,Chandler,2023,4,2001,4,2,1,1,Rudy G. Bologna,Willis,Perry,80,80,7800,Detached,Conventional
20007,None,N,Chandler,1684,4,1986,4,3,2,1,Kyrene de la Paloma,Kyrene del Pueblo,Corona del Sol,28,3,8237,Detached,Conventional
