_dataobs_,Pool,Horses,City_Town_Code,Approx_SQFT,Bedrooms_Plus,Year_Built,__Bedrooms,__Bathrooms,__of_Interior_Levels,Exterior_Stories,Elementary_School,Jr__High_School,High_School,Elem_School_Dist__,High_School_Dist__,Approx_Lot_SqFt,Dwelling_Styles,Loan_Type
3,Private,N,Scottsdale,1844,3,1977,3,2,1,1,Sandpiper,Desert Shadows Scott,Horizon School,69,69,11029,Detached,Cash
16,Both,N,Scottsdale,2616,3,1999,3,2.5,1,1,Grayhawk,Mountain Trail,Pinnacle,69,69,8067,Detached,Conventional
24,Both,N,Chandler,1356,2,1985,2,2,2,2,Kyrene del Sureno,Kyrene Aprende,Corona del Sol,28,213,4508,Detached,Conventional
29,Private,N,Tempe,1553,3,1994,3,2,1,1,Kyrene de las Manita,Kyrene del Pueblo,Mountain Pointe,28,213,7079,Detached,Other
33,Private,N,Tempe,2031,4,1968,4,2,1,1,Hudson,Connolly,Tempe High School,3,213,9509,Detached,Cash
34,Private,N,Scottsdale,2354,5,1982,3,2,1,1,Laguna,Mountainside,Desert Mountain High,48,48,10275,Detached,Other
48,None,N,Chandler,1837,3,2001,3,2.5,2,2,Jane D. Hull,San Tan,Basha High,80,80,3750,Detached,Conventional
50,Private,N,Tempe,2429,4,1983,4,2,1,1,Curry,Connolly,McClintock,3,213,11038,Detached,Conventional
52,None,N,Scottsdale,1296,3,1958,3,1.75,1,1,Navajo,Mohave,Saguaro High,48,48,7250,Detached,Cash
61,Community,N,Chandler,1014,2,1988,2,2,1,1,Rudy G. Bologna,Willis,Perry,80,80,4940,Detached,Conventional
62,Private,N,Tempe,1176,3,1970,3,2,1,1,Carminati,McKemy,Tempe High School,3,213,5809,Detached,Conventional
67,Private,N,Scottsdale,2611,5,2001,4,3,1,1,Pinnacle Peak,Mountain Trail,Pinnacle,69,69,7937,Detached,Conventional
69,Private,N,Scottsdale,2694,4,1986,4,2.5,2,2,Anasazi Elementary,Mountainside,Desert Mountain High,48,48,6989,Detached,Other
79,Private,N,Scottsdale,1997,4,1959,4,3.5,1,1,Tonalea,Supai,Coronado High,48,48,7627,Detached,Conventional
83,None,N,Scottsdale,2006,4,1993,3,2,1,1,Desert Canyon,Desert Canyon Middle,Desert Mountain,48,48,6770,Detached,Conventional
88,Community,N,Chandler,1473,3,1984,3,2,1,1,Kyrene de las Brisas,Kyrene Aprende,Corona del Sol,28,213,4953,Detached,Conventional
96,Private,N,Chandler,3044,4,2002,4,2.5,1,1,CTA Independence,Bogle Junior High,Hamilton,80,80,10023,Detached,Cash
97,Private,N,Scottsdale,1901,4,1990,4,2,1,1,Zuni Hills,Desert Canyon,Desert Mountain,48,48,7371,Detached,Other
98,Private,N,Scottsdale,2244,5,1979,5,2,1,1,Desert Shadows,Desert Shadows Scott,Horizon,69,69,17107,Detached,Conventional
104,Private,N,Chandler,2248,4,1996,4,2,1,1,Kyrene de la Paloma,Kyrene del Pueblo,Corona del Sol,28,213,7370,Detached,Conventional
105,None,N,Chandler,2139,5,2013,4,2,1,1,Basha Elementary Sch,Bogle Junior High,Hamilton,80,80,5988,Detached,Cash
117,Community,N,Chandler,2363,5,2016,3,3,2,2,CTA Independence,Bogle Junior High,Hamilton,80,80,3429,Detached,Cash
123,None,N,Chandler,1612,3,1993,3,2,1,1,Kyrene del Sureno,Kyrene Aprende,Corona del Sol,28,213,7135,Detached,Cash
126,Private,N,Tempe,4365,7,1986,5,3,1,1,C. I. Waggoner,Kyrene Centennial,Corona del Sol,28,213,20521,Detached,Conventional
128,Private,N,Scottsdale,2152,4,1974,4,2,1,1,Kiva,Mohave,Saguaro High,48,48,7116,Detached,Conventional
134,None,N,Tempe,1828,3,1984,3,2,1,1,Laird,McKemy,Tempe High School,3,213,9139,Detached,Cash
139,Private,N,Scottsdale,1856,4,1957,4,2,1,1,Tavan,Ingleside,Arcadia High,48,48,7333,Detached,Conventional
141,Private,N,Scottsdale,2449,5,1992,3,2,1,1,Copper Ridge,Copper Ridge Middle,Chaparral High,48,48,8454,Detached,Cash
158,Private,N,Scottsdale,1489,4,1957,3,2,1,1,Pima,Tonalea,Coronado High,48,48,6896,Detached,Cash
159,Private,N,Tempe,1594,3,1986,3,2,1,1,C. I. Waggoner,Kyrene Middle,Corona del Sol,28,213,8651,Detached,Cash
163,Community,N,Tempe,1462,4,1997,3,2.5,2,2,Wood,Fees,Marcos De Niza,3,213,2161,Detached,Conventional
165,Community,N,Chandler,1576,3,1986,3,2,1,1,John M. Andersen,John M Andersen Jr H,Chandler High,80,80,4591,Detached,Cash
169,Private,N,Chandler,3324,4,2003,4,3.5,1,1,Ann Marie Jacobson,Bogle Junior High,Perry,80,80,13561,Detached,Conventional
180,Private,N,Tempe,3554,6,1997,4,3,2,2,C. I. Waggoner,Kyrene Middle,Corona del Sol,28,213,8629,Detached,Conventional
183,Private,N,Chandler,2573,4,2005,3,2.5,2,2,Navarrete,Navarrete Elementary,Basha High,80,80,9350,Detached,Conventional
184,None,N,Scottsdale,1623,4,1959,3,2,1,1,Yavapai,Supai,Coronado,48,48,6177,Detached,Conventional
191,None,N,Tempe,1988,4,1979,4,2,1,1,Kyrene de la Maripos,Kyrene Middle,Marcos De Niza,28,213,10102,Detached,Cash
194,Private,N,Scottsdale,1827,4,1966,4,2,1,1,Pueblo,Mohave,Saguaro High,48,48,8244,Detached,Conventional
198,Private,N,Scottsdale,1376,3,1984,3,2,1,1,North Ranch,Desert Shadows Scott,Horizon School,69,69,8629,Detached,Conventional
201,None,N,Chandler,1159,3,2000,3,2,1,1,Rudy G. Bologna,Bogle Junior High,Hamilton,80,80,3625,Attached,FHA
202,None,N,Tempe,1092,2,1950,2,1,1,1,Holdeman,Gililland,Tempe High School,3,213,6403,Detached,Cash
203,None,N,Tempe,1513,3,1956,3,2,1,1,Broadmor Elementary,Connolly,Tempe High School,3,213,8586,Detached,Cash
205,Private,N,Scottsdale,2941,5,2002,4,3,1,1,Pinnacle Peak,Pinnacle Peak,Pinnacle,69,69,7323,Detached,Conventional
232,None,N,Chandler,3754,5,2019,4,3.5,1,1,Ira A. Fulton,Santan Junior High,Hamilton,80,80,12940,Detached,Conventional
234,Private,N,Scottsdale,2331,4,1979,4,2,1,1,Kiva,Mohave,Saguaro High,48,48,7929,Detached,Conventional
236,Community,N,Scottsdale,2073,3,1994,3,2.5,1,1,Anasazi Elementary,Mountainside,Desert Mountain High,48,48,6409,Detached,Other
247,Private,N,Chandler,2023,3,2000,3,2,1,1,Rudy G. Bologna,Willis,Perry,80,80,7800,Detached,Conventional
248,None,N,Chandler,1788,3,2015,3,2,1,1,Shumway,Willis,Chandler High,80,80,5000,Detached,Conventional
250,Private,N,Chandler,1686,3,2003,3,2,1,1,Jane D. Hull,Santan Junior High,Basha High,80,80,11360,Detached,Conventional
252,Community,N,Chandler,1722,3,2020,3,2.5,2,2,San Tan,Santan Junior High,Perry,80,80,2911,Detached,Conventional
253,Private,N,Chandler,1314,3,1985,3,2,1,1,Sanborn,Willis,Chandler High,80,80,7018,Detached,FHA
256,Private,N,Scottsdale,3705,7,1998,5,2.5,2,2,Grayhawk,Mountain Trail,Pinnacle,69,69,9375,Detached,Cash
271,None,N,Chandler,956,2,1987,2,1,1,1,Rudy G. Bologna,Willis,Chandler High,80,80,3196,Detached,Conventional
278,Private,N,Scottsdale,1420,3,1959,3,2,1,1,Navajo,Mohave,Saguaro High,48,48,7430,Detached,Conventional
280,None,N,Tempe,2175,4,1995,3,2,1,1,Kyrene del Norte,Kyrene De La Colina,Marcos De Niza,28,213,7166,Detached,Conventional
282,Private,N,Tempe,2458,5,1986,4,2.5,1,1,Kyrene de la Maripos,Kyrene del Pueblo,Corona del Sol,28,213,11657,Detached,Conventional
283,Private,N,Chandler,3517,6,2001,6,3,2,2,Jane D. Hull,Santan Junior High,Basha High,80,80,7925,Detached,Conventional
289,Community,N,Scottsdale,1378,3,1987,2,2,1,1,Laguna,Mountainside,Desert Mountain,48,48,4001,Detached,Conventional
294,Community,N,Chandler,1149,2,2004,2,2,1,1,Adult,Adult,Adult,80,80,4275,Detached,Conventional
308,Private,N,Scottsdale,2265,4,1974,4,2,1,1,Kiva,Mohave,Saguaro High,48,48,10556,Detached,Cash
311,Private,N,Chandler,1836,4,1995,4,2,1,1,Kyrene de la Paloma,Kyrene del Pueblo,Corona del Sol,28,213,7741,Detached,Conventional
327,Private,N,Scottsdale,2034,4,1958,4,2,1,1,Pima,Supai,Coronado High,48,48,6405,Detached,Conventional
330,Private,N,Fountain Hills,1858,4,1990,3,2,1,1,Fountain Hills,Fountain Hills,Fountain Hills,98,98,18936,Detached,Conventional
334,None,N,Tempe,2004,3,1957,3,2,1,1,Broadmor Elementary,McKemy,Tempe High School,3,213,8612,Detached,Cash
343,Private,N,Chandler,4308,7,2003,5,4.5,2,2,Ira A. Fulton,Santan Junior High,Hamilton,80,80,14134,Detached,Conventional
345,Private,N,Scottsdale,2248,4,1997,3,2,1,1,Desert Sun,Sonoran Trails,Cactus Shadows,93,93,9321,Detached,Cash
351,Community,N,Scottsdale,2352,4,2019,3,2.5,2,2,Tonalea,Supai,Coronado High,48,48,2352,Detached,Conventional
364,Community,N,Scottsdale,1686,3,1989,3,2,2,2,Desert Canyon,Desert Canyon Middle,Desert Mountain High,48,48,5543,Detached,Other
368,None,N,Scottsdale,2569,5,2021,3,2.5,1,1,Pinnacle Peak,Mountain Trail,Pinnacle,48,48,6663,Detached,Conventional
369,None,Y,Chandler,2365,3,1979,3,3,1,1,John M. Andersen,John M Andersen Jr H,Chandler High,80,80,37488,Detached,Cash
371,Private,N,Tempe,3107,5,1986,5,3,2,2,C. I. Waggoner,Kyrene Middle,Corona del Sol,28,213,9361,Detached,Conventional
372,Private,N,Scottsdale,2229,4,1986,4,2,1,1,Redfield Elementary,Desert Canyon,Desert Mountain,48,48,7958,Detached,Conventional
376,Private,N,Scottsdale,1864,4,1967,3,2.5,1,1,Pueblo,Mohave,Saguaro High,48,48,8156,Detached,Cash
396,Private,N,Scottsdale,2124,4,1998,3,2,1,1,Pinnacle Peak,Mountain Trail,Pinnacle,69,69,6600,Detached,Conventional
397,Private,N,Scottsdale,2323,4,1979,4,2,1,1,North Ranch,Desert Shadows Scott,Horizon School,69,69,14845,Detached,Cash
401,Private,N,Chandler,3119,6,2001,5,2.5,2,2,Santan Elementary,Santan Junior High,Basha High,80,80,10347,Detached,Conventional
415,None,N,Chandler,3057,6,2005,4,2.5,2,2,Haley Elementary,San Tan,Perry,80,80,7435,Detached,Cash
417,Private,N,Scottsdale,1669,4,1958,4,2,1,1,Pima,Supai,Coronado High,48,48,6395,Detached,Conventional
418,Community,N,Chandler,2231,4,1985,4,2.5,2,2,Rudy G. Bologna,Willis,Perry,80,80,9579,Detached,Conventional
427,None,N,Chandler,2866,5,2005,4,2.5,1,1,Audrey and Robert Ry,Willie & Coy Payne J,Perry,80,80,10080,Detached,Conventional
428,Private,N,Scottsdale,1836,3,1976,3,2,1,1,Liberty Scottsdale,Sunrise Middle,Horizon School,69,69,11416,Detached,Other
433,Private,N,Chandler,2206,5,1990,4,2.5,2,2,Ann Marie Jacobson,Challenger,Hamilton,80,80,8163,Detached,Conventional
435,None,N,Chandler,1350,3,2004,3,2,1,1,Ira A. Fulton,Santan Junior High,Hamilton,80,80,4265,Detached,Conventional
439,Both,N,Scottsdale,3301,6,1991,4,3,1,1,Laguna,Mountainside,Desert Mountain,48,48,12255,Detached,Cash
451,None,N,Chandler,1725,4,1991,3,2,1,1,Ann Marie Jacobson,Bogle Junior High,Hamilton,80,80,8965,Detached,Conventional
457,Private,N,Chandler,1254,3,1995,3,2,1,1,Galveston,Willis,Chandler High,80,80,5506,Detached,Cash
459,None,N,Chandler,1554,3,1983,3,2,1,1,John M. Andersen,John M Andersen Jr H,Chandler High,80,80,6756,Detached,Cash
461,None,N,Tempe,1260,3,1971,3,2,1,1,Roosevelt,Powell,Westwood,4,4,8255,Detached,Cash
466,Private,N,Chandler,3997,6,2011,6,5.5,1,1,Audrey and Robert Ry,Willie & Coy Payne J,Arizona College PEC,80,80,19225,Detached,Other
468,Private,N,Scottsdale,2524,3,2000,3,3,1,1,Griffith,Orangedale,Camelback High sch,31,210,9999,Detached,Cash
469,Private,N,Scottsdale,2412,4,2015,2,2.5,1,1,Black Mountain,Sonoran Trails,Cactus Shadows,93,93,7253,Detached,Conventional
470,Private,N,Chandler,3755,6,2007,4,3.5,1,1,Robert and Danell Ta,Bogle Junior High,Hamilton,80,80,10561,Detached,Cash
475,Private,N,Scottsdale,1755,3,1986,3,2.5,2,2,Hohokam Scottsdale,Tonalea,Coronado High,48,48,6317,Detached,Conventional
478,None,N,Scottsdale,1416,3,1959,3,2,1,1,Navajo,Mohave,Saguaro,48,48,7137,Detached,Conventional
480,Private,N,Chandler,1705,3,1985,3,2,1,1,Kyrene del Cielo,Kyrene Aprende,Corona del Sol,28,213,9731,Detached,Other
483,Private,N,Chandler,2297,4,1998,4,2.5,2,2,CTA Liberty,Willis,Hamilton,80,80,7410,Detached,Conventional
486,Private,N,Chandler,1917,3,1986,3,2,1,1,Kyrene de la Paloma,Kyrene del Pueblo,Mountain Pointe,28,213,7688,Detached,Conventional
489,None,N,Chandler,1830,5,1980,4,2,1,1,Pomeroy,Hendrix,Dobson,4,4,6700,Detached,Conventional
492,Private,N,Chandler,1380,3,1988,3,2,1,1,Summit Academy,Summit Academy,Dobson,4,4,4739,Detached,Conventional
493,None,N,Chandler,1304,3,1979,3,2,1,1,Summit Academy,Summit Academy,Dobson,4,4,7244,Detached,Conventional
494,None,N,Chandler,1480,3,1975,3,2,1,1,Erie,John M Andersen Jr H,Chandler High,80,80,9640,Detached,Cash
500,None,N,Tempe,819,2,1945,2,1,1,1,Curry,Connolly,McClintock,3,213,8426,Detached,Other
501,None,N,Chandler,1168,3,1979,3,2,1,1,CT Freedom,Willis,Perry,80,80,6652,Detached,Other
502,Private,N,Scottsdale,2479,4,1974,4,3,1,1,Desert Shadows,Desert Shadows Scott,Horizon School,69,69,15391,Detached,Conventional
508,Private,N,Scottsdale,2588,2,1976,2,3,1,1,Sandpiper,Desert Shadows Scott,Horizon School,69,69,9221,Detached,Other
509,Private,N,Scottsdale,1972,4,1984,4,2,1,1,Cheyene Elementary,Mountainside,Desert Mountain,48,48,7584,Detached,Cash
514,None,N,Scottsdale,1340,3,1957,3,2,1,1,Pima,Supai,Coronado High,48,48,10592,Detached,Cash
517,None,N,Chandler,1754,3,1986,3,2.5,2,2,Kyrene del Sureno,Kyrene Aprende,Corona del Sol,28,213,9257,Detached,Conventional
521,None,N,Tempe,1274,3,1962,3,2,1,1,Holdeman,Gililland,Tempe High School,3,3,6869,Detached,Conventional
522,None,N,Chandler,1517,3,1994,3,2,1,1,San Marcos,Bogle Junior High,Chandler High,80,80,5785,Detached,FHA
532,Both,N,Scottsdale,2551,4,2000,4,2,1,1,Desert Canyon,Desert Canyon Middle,Desert Mountain High,48,48,10133,Detached,Conventional
536,Private,N,Scottsdale,2438,4,1987,4,2.5,1,1,Redfield Elementary,Desert Canyon Middle,Desert Mountain High,48,48,7560,Detached,Conventional
538,Community,N,Chandler,2185,4,2004,3,2,1,1,Adult,Adult,Adult,80,80,9238,Detached,Cash
539,None,N,Chandler,2287,6,2020,4,3,1,1,Kyrene del Sureno,Kyrene Aprende,Corona del Sol,28,213,9653,Detached,Conventional
542,Private,N,Chandler,2573,5,2005,3,2.5,2,2,Navarrete,Willie & Coy Payne J,Basha High,80,80,7513,Detached,Conventional
543,None,N,Scottsdale,1600,3,1958,3,2,1,1,Pima,Supai,Coronado,48,48,6516,Detached,Cash
547,Community,N,Chandler,1339,2,1983,2,2,1,1,Chandler Traditional,John M Andersen Elem,Chandler High,80,80,7501,Detached,Conventional
551,Private,N,Scottsdale,3261,4,1987,4,2.5,1,1,Laguna,Mountainside,Desert Mountain High,48,48,22395,Detached,Cash
554,Private,N,Scottsdale,2770,7,1996,5,3,2,2,Sandpiper,Desert Shadows Scott,Paradise Valley,69,69,7415,Detached,Cash
556,None,N,Fountain Hills,2626,5,1994,5,3,2,2,McDowell Mountain,Fountain Hills Middl,Fountain Hills,98,98,9988,Detached,Conventional
561,Private,N,Scottsdale,1380,3,1962,3,2,1,1,Pima,Supai,Coronado High,48,48,8671,Detached,Conventional
573,Private,N,Scottsdale,3242,4,1984,4,3.5,1,1,Sequoya,Cocopah,Chaparral High,48,48,16240,Detached,Conventional
575,Private,N,Chandler,3666,5,2012,5,3,2,2,Audrey and Robert Ry,Willie & Coy Payne J,Arizona College PEC,80,80,9842,Detached,Cash
580,Private,N,Chandler,1875,4,1979,3,2,1,1,Erie,John M Andersen Jr H,Chandler High,80,80,10502,Detached,Cash
582,Private,N,Scottsdale,3380,6,1994,5,2.5,2,2,Sandpiper,Desert Shadows,Horizon,69,69,9983,Detached,Cash
585,Private,N,Scottsdale,1597,4,1967,4,2,1,1,Pueblo,Mohave,Saguaro High,48,48,9112,Detached,Cash
586,None,N,Scottsdale,1358,3,1979,2,2,1,1,Hopi,Mohave,Saguaro High,48,48,7132,Detached,Cash
587,Private,N,Chandler,2944,6,1999,4,2.5,1,1,Sanborn,Willis,Chandler High,80,80,13055,Detached,Conventional
590,Private,N,Chandler,2009,5,1995,5,3,2,2,Chandler Traditional,John M Andersen Jr H,Chandler High,80,80,10128,Detached,Conventional
593,None,N,Tempe,2309,4,1959,4,2,1,1,Holdeman,Gililland,Tempe High School,213,213,6569,Detached,Cash
597,Both,N,Scottsdale,2439,3,1993,3,3,1,1,Cochise,Cocopah,Chaparral High,48,48,8775,Detached,Cash
601,Private,N,Chandler,4077,7,2007,5,3.5,2,1,Santan Elementary,Santan Junior High,Basha High,80,80,9515,Detached,Conventional
604,Private,N,Scottsdale,2050,4,1960,4,3,1,1,Yavapai,Tonalea,Coronado High,48,48,7041,Detached,Conventional
608,Private,N,Scottsdale,2149,3,1994,3,2,1,1,Redfield Elementary,Desert Canyon Middle,Desert Mountain High,48,48,8896,Detached,Conventional
611,Private,N,Scottsdale,1464,3,1972,3,2,1,1,Hohokam Scottsdale,Mohave,Coronado High,48,48,4989,Detached,Conventional
617,Private,N,Chandler,2241,4,1994,3,2.5,2,2,Ann Marie Jacobson,Bogle Junior High,Hamilton,80,80,7840,Detached,Conventional
623,Private,N,Chandler,1509,3,1998,3,2.5,2,2,Robert and Danell Ta,Bogle Junior High,Hamilton,80,80,9339,Detached,Conventional
625,Community,N,Chandler,1744,2,1998,2,2,1,1,Adult,Adult,Adult,80,80,8485,Detached,Cash
626,Community,N,Chandler,1625,3,1984,3,2.5,2,2,John M. Andersen,John M Andersen Jr H,Chandler High,80,80,5088,Detached,Cash
628,Private,N,Fountain Hills,3238,6,1999,5,3.5,1,1,McDowell Mountain,Fountain Hills Middl,Fountain Hills,98,98,17080,Detached,Other
632,Private,N,Scottsdale,3054,4,1993,4,2.5,1,1,Liberty Scottsdale,Sunrise Middle,Horizon School,69,69,10240,Detached,Other
644,Private,N,Chandler,2492,4,1995,4,2,1,1,Robert and Danell Ta,Bogle Junior High,Hamilton,80,80,9662,Detached,Conventional
645,Private,N,Chandler,3116,6,2005,4,2.5,2,2,Ira A. Fulton,Santan Junior High,Hamilton,80,80,8775,Detached,Conventional
646,Community,N,Chandler,2604,6,2016,4,3.5,2,2,CTA Independence,Bogle Junior High,Hamilton,80,80,3535,Detached,Conventional
652,Private,N,Scottsdale,1636,4,1978,3,2,1,1,Desert Shadows,Desert Shadows Scott,Horizon,69,69,9887,Detached,Cash
653,None,N,Tempe,2070,5,1961,5,3,1,1,Laird,McKemy,McClintock,3,213,6909,Detached,Cash
662,None,N,Chandler,1422,3,1979,3,2,1,1,Pomeroy,Hendrix,Dobson,4,4,6129,Detached,Conventional
663,Community,N,Chandler,1339,4,1984,3,2.5,2,2,Kyrene de las Brisas,Kyrene Aprende,Corona del Sol,28,213,4934,Detached,Other
672,Private,N,Fountain Hills,3534,4,1994,4,3.5,1,1,McDowell Mountain,Fountain Hills Middl,Fountain Hills,98,98,22651,Detached,VA
675,None,N,Scottsdale,3305,5,1996,4,2.5,1,1,Desert Sun,Sonoran Trails,Cactus Shadows,93,93,13040,Detached,Cash
678,Community,N,Scottsdale,2219,3,1999,2,2.5,1,1,Black Mountain,Sonoran Trails,Cactus Shadows,93,93,14423,Detached,Cash
681,Private,N,Scottsdale,1645,3,1958,3,2.5,1,1,Tonalea,Supai,Coronado High,48,48,6769,Detached,Conventional
684,None,N,Scottsdale,2530,4,1996,3,2.5,1,1,Anasazi Elementary,Mountainside,Desert Mountain High,48,48,9004,Detached,Conventional
685,None,N,Scottsdale,2224,4,1958,4,2,1,1,Yavapai,Mohave,Coronado High,48,48,6391,Detached,Other
687,Private,N,Chandler,2801,5,1985,5,3,2,2,Pomeroy,Summit Academy,Dobson,4,4,13216,Detached,Conventional
712,None,N,Scottsdale,1455,3,1962,3,2,1,1,Pima,Supai,Coronado,48,48,6157,Detached,Conventional
713,None,N,Fountain Hills,1703,3,1996,2,2.5,1,1,Four Peaks Ftn Hills,Fountain Hills Middl,Fountain Hills,98,98,7239,Detached,Cash
718,None,N,Chandler,2184,4,1993,4,2.5,2,2,Sanborn,Willis,Chandler High,80,80,6900,Detached,Cash
733,Private,N,Scottsdale,2747,6,1979,4,3,1,1,Liberty Scottsdale,Sunrise Middle,Horizon,69,69,10347,Detached,Conventional
737,None,N,Chandler,3226,7,2000,5,3,2,2,CTA Humphrey,Santan Junior High,Perry,80,80,9366,Detached,Conventional
739,Community,N,Scottsdale,2130,5,1989,3,2.5,2,2,Redfield Elementary,Desert Canyon Middle,Desert Edge,48,48,5625,Detached,Other
742,None,N,Chandler,2136,4,1999,3,2,1,1,Sanborn,Willis,Chandler High,80,80,7688,Detached,Conventional
748,Private,N,Chandler,1513,3,1982,3,2,1,1,Pomeroy,Hendrix,Dobson,4,4,7719,Detached,Conventional
749,None,N,Tempe,1363,4,1978,4,1.75,1,1,Carminati,Gililland,Tempe High School,3,213,7719,Detached,Conventional
756,Both,N,Scottsdale,1514,2,1991,2,2,1,1,Kiva,Mohave,Saguaro High,48,48,4644,Detached,Cash
758,Private,N,Scottsdale,1716,3,1984,3,2,1,1,Liberty Scottsdale,Sunrise Middle,Horizon School,25,69,11009,Detached,Conventional
762,Private,N,Scottsdale,1777,3,1960,3,3,1,1,Hohokam Scottsdale,Supai,Coronado High,48,48,6759,Detached,Conventional
763,Private,N,Scottsdale,2181,4,1983,4,2,1,1,Desert Springs,Desert Shadows Scott,Horizon School,69,69,10289,Detached,Cash
767,None,N,Tempe,1965,6,1955,6,4,1,1,Laird,Connolly,Tempe High School,3,213,7350,Detached,Conventional
770,None,N,Tempe,1362,3,1959,3,1.75,1,1,Scales,Gililland,Tempe High School,3,213,7682,Detached,Cash
771,Private,N,Tempe,900,2,1978,2,1,1,1,Frank Elementary Sch,Gililland,Tempe High School,3,3,7026,Detached,Conventional
772,Private,N,Scottsdale,2278,4,1979,4,2.5,1,1,Cochise,Cocopah,Chaparral High,48,48,9439,Detached,Conventional
778,Private,N,Chandler,4332,9,2004,5,3,2,2,Haley Elementary,San Tan Heights,Perry,80,80,9332,Detached,Conventional
785,None,N,Chandler,2391,4,2002,4,2,1,1,Jane D. Hull,San Tan,Basha High,80,80,13756,Detached,Conventional
789,None,N,Tempe,2052,3,1989,3,2,1,1,Kyrene de la Maripos,Kyrene del Pueblo,Corona del Sol,28,213,7492,Detached,Cash
791,Private,N,Chandler,1860,5,2001,4,2,1,1,T. Dale Hancock,Bogle Junior High,Hamilton,80,80,7203,Detached,Conventional
797,Private,N,Tempe,1762,4,1965,4,2,1,1,Meyer,McKemy,McClintock,3,213,8146,Detached,Other
800,None,N,Fountain Hills,1451,3,1985,3,2,1,1,McDowell Mountain,Fountain Hills Middl,Fountain Hills,98,98,10502,Detached,Conventional
802,None,N,Chandler,1300,3,1996,3,2,1,1,Rudy G. Bologna,Santan Junior High,Perry,80,80,5554,Detached,Cash
808,Private,N,Fountain Hills,3127,4,2019,4,3,1,1,McDowell Mountain,Fountain Hills Middl,Fountain Hills,98,98,21478,Detached,Conventional
821,Private,N,Scottsdale,2199,4,1989,4,3,2,2,Copper Ridge,Copper Ridge,Chaparral High,48,48,5070,Detached,Cash
824,Private,N,Chandler,3336,5,1989,5,3.5,3,1,Sirrine,Hendrix,Dobson,4,4,10603,Detached,Conventional
828,None,N,Chandler,2195,4,2003,3,2.5,2,2,Frye,Bogle Junior High,Hamilton,80,80,3625,Detached,Conventional
836,None,N,Chandler,1623,3,1998,3,2,1,1,CTA Liberty,Willis,Perry,80,80,6521,Detached,Other
838,Private,N,Chandler,1452,3,1984,3,2,1,1,Chandler Traditional,John M Andersen Jr H,Chandler High,80,80,10158,Detached,Conventional
852,Private,N,Scottsdale,2221,4,1961,4,2.75,1,1,Hohokam Scottsdale,Supai,Coronado,48,48,9144,Detached,Cash
853,Private,N,Tempe,2852,4,1986,4,2.5,1,1,Kyrene del Cielo,Kyrene Aprende,Corona del Sol,28,213,16100,Detached,Conventional
854,Private,N,Tempe,2588,5,1979,4,1.75,1,1,C. I. Waggoner,Kyrene Middle,Corona del Sol,28,213,13608,Detached,Conventional
864,None,N,Chandler,2307,4,1994,4,3,2,2,Frye,Willis,Hamilton,80,80,9418,Detached,Conventional
865,None,N,Tempe,1755,5,1957,5,3,1,1,Broadmor Elementary,Connolly,Tempe High School,3,213,7277,Detached,Cash
866,Private,N,Chandler,1520,4,1970,4,2,1,1,Sanborn,John M Andersen Jr H,Chandler High,80,80,7179,Detached,Conventional
867,Community,N,Fountain Hills,1445,3,1991,3,2,1,1,McDowell Mountain,Fountain Hills Middl,Fountain Hills,98,98,6003,Detached,Conventional
875,Private,N,Scottsdale,2491,5,1970,4,3,2,2,Pima,Supai,Coronado High,48,48,12209,Detached,Conventional
876,Private,Y,Scottsdale,3196,4,2018,4,3,1,1,Desert Sun,Sonoran Trails,Cactus Shadows,93,93,50283,Detached,Conventional
882,Private,N,Chandler,1691,3,1995,3,2,1,1,Kyrene de la Paloma,Kyrene del Pueblo,Mountain Pointe,28,213,7836,Detached,Conventional
898,Private,N,Chandler,3272,5,2002,5,3.5,2,2,Ira A. Fulton,Santan Junior High,Hamilton,80,80,7613,Detached,Cash
903,None,N,Tempe,2283,6,1960,5,1.75,1,1,Tonalea,Supai,Coronado,48,48,7074,Detached,Other
906,Community,N,Chandler,2250,4,1994,3,2,1,1,Adult,Adult,Adult,80,80,6290,Detached,Conventional
914,Community,N,Chandler,1566,3,1994,2,2,1,1,Adult,Adult,Adult,80,80,6429,Detached,Conventional
922,Private,N,Scottsdale,2396,4,1983,4,3,1,1,Laguna,Mountainside,Desert Mountain,48,48,14624,Detached,Conventional
923,None,N,Scottsdale,2898,6,1981,5,3,1,1,Desert Springs,Desert Shadows Scott,Horizon School,69,69,15249,Detached,Exchange
924,Private,N,Scottsdale,2664,4,1987,4,2.5,1,1,Sequoya,Cocopah,Chaparral High,48,48,20784,Detached,Cash
926,Private,N,Scottsdale,2505,3,1986,3,2,2,2,Liberty Scottsdale,Sunrise Middle,Horizon School,69,69,9112,Detached,Conventional
933,Private,N,Fountain Hills,2567,5,2019,3,3.5,2,2,Four Peaks Ftn Hills,Fountain Hills,Fountain Hills,98,98,10197,Detached,Conventional
941,None,N,Tempe,2016,4,1976,4,2,1,1,Kyrene de los Ninos,Kyrene Middle,Corona del Sol,28,213,7457,Detached,Conventional
945,None,N,Chandler,1062,3,1984,3,1,1,1,Kyrene del Sureno,Kyrene Aprende,Corona del Sol,28,213,7732,Detached,Conventional
951,Community,N,Scottsdale,1937,3,1985,2,2,1,1,Cochise,Cocopah,Chaparral High,48,48,5231,Detached,Cash
