_dataobs_,Pool,Horses,Sold_Price,City_Town_Code,Approx_SQFT,Bedrooms_Plus,Year_Built,__Bedrooms,__Bathrooms,__of_Interior_Levels,Exterior_Stories,Elementary_School,Jr__High_School,High_School,Elem_School_Dist__,High_School_Dist__,Approx_Lot_SqFt,Dwelling_Styles,Loan_Type
17922,Private,N,450000,Tempe,2132,3,1978,3,2,1,1,Fuller,Fees,Marcos De Niza,3,213,7884,Detached,Conventional
17924,None,N,419000,Scottsdale,1607,2,1978,2,2,1,1,Kiva,Mohave,Saguaro High,48,48,7093,Detached,Cash
17925,Private,N,417500,Chandler,2000,5,1999,4,3,1,1,CTA Liberty,Willis,Perry,80,80,6848,Detached,Cash
17926,None,N,400000,Fountain Hills,2018,3,1986,3,2,1,1,McDowell Mountain,Fountain Hills Middl,Fountain Hills,98,98,13748,Detached,VA
17927,Private,N,390000,Tempe,2399,4,1977,3,1.75,1,1,Roosevelt,Rhodes,Westwood,4,4,7884,Detached,Conventional
17929,None,N,375000,Chandler,1537,4,1996,4,2,1,1,Rudy G. Bologna,Santan Junior High,Perry,80,80,6242,Detached,Conventional
17930,None,N,367900,Chandler,2388,4,2004,4,2.5,2,2,Navarrete,Willie & Coy Payne J,Basha High,80,80,7015,Detached,Conventional
17931,Private,N,365000,Tempe,1430,3,1967,3,2,1,1,Meyer,Connolly,Tempe High School,3,213,8282,Detached,Conventional
17933,None,N,347000,Chandler,1673,4,1996,3,2,1,1,San Marcos,Bogle Junior High,Hamilton,80,80,5685,Detached,Conventional
17935,None,N,126000,Chandler,1109,3,1916,2,1,1,2,San Marcos,Bogle Junior High,Hamilton,80,80,4465,Detached,Cash
17937,Private,N,1100000,Scottsdale,2293,3,2020,3,3,1,1,Tavan,Ingleside,Arcadia High,48,48,6374,Detached,Other
17938,Private,N,1059000,Scottsdale,3236,6,1983,4,3,1,1,Sequoya,Cocopah,Chaparral High,48,48,14143,Detached,Conventional
17939,Private,N,1005000,Scottsdale,3436,5,1994,5,3.5,1,1,Liberty Scottsdale,Sunrise Middle,Horizon School,69,69,12623,Detached,Other
17941,Community,N,860000,Scottsdale,2757,5,1993,3,2.5,2,2,Cochise,Cocopah,Chaparral High,48,48,4964,Detached,Other
17942,Private,N,848000,Chandler,3608,6,2002,5,3.5,1,1,Willie & Coy Payne J,Willie & Coy Payne J,Basha High,80,80,24990,Detached,Conventional
17943,Community,N,775000,Scottsdale,2559,3,1997,2,2.5,1,1,Black Mountain,Sonoran Trails,Cactus Shadows,93,93,8130,Detached,Conventional
17944,Private,N,775000,Scottsdale,2960,4,2004,4,4,1,1,Anasazi Elementary,Mountainside,Desert Mountain High,48,48,9293,Detached,Conventional
17946,Private,N,649900,Scottsdale,2167,5,1979,4,2,1,1,Cochise,Cocopah,Chaparral High,26,48,14234,Detached,Other
17948,Private,N,630000,Fountain Hills,1898,3,1997,3,2,1,1,McDowell Mountain,Fountain Hills Middl,Fountain Hills,98,98,7161,Detached,Cash
17949,Private,N,606000,Chandler,3631,8,2003,5,3,2,2,T. Dale Hancock,Bogle Junior High,Hamilton,80,80,10528,Detached,Conventional
17951,Private,N,535000,Scottsdale,1939,4,1959,4,2,1,1,Tonalea,Supai,Coronado,48,48,7866,Detached,Other
17952,Private,N,520000,Scottsdale,1795,3,1978,3,2,1,1,Desert Shadows,Desert Shadows Scott,Horizon School,69,69,9805,Detached,Conventional
17953,Private,N,507500,Chandler,2421,5,2003,4,2,1,1,Jane D. Hull,Santan Junior High,Chandler High,80,80,9670,Detached,Cash
17954,Private,N,505000,Scottsdale,1607,4,1979,3,2,1,1,Liberty Scottsdale,Sunrise Middle,Horizon,69,69,9975,Detached,Conventional
17958,Community,N,397000,Tempe,1806,3,1990,3,2,1,1,C. I. Waggoner,Kyrene Middle,Corona del Sol,28,213,6486,Detached,Cash
17959,None,N,345000,Tempe,1308,3,1972,3,2,1,1,Aguilar,Aguilar,Marcos De Niza,3,3,8276,Detached,Conventional
17961,None,N,340000,Chandler,1748,4,1963,4,3,1,1,Frye,Willis,Hamilton,80,80,8799,Detached,Conventional
17963,None,N,279900,Chandler,1106,2,1979,2,2,1,1,Pomeroy,John M Andersen Elem,Dobson,4,4,6395,Detached,FHA
17964,Private,N,1110000,Scottsdale,4490,6,1999,4,3,1,1,Pinnacle Peak,Mountain Trail,Pinnacle,69,69,44687,Detached,Conventional
17965,Private,N,675000,Scottsdale,2662,5,1998,4,3,2,2,Copper Canyon,Sunrise Middle,Horizon,69,69,8434,Detached,Conventional
