_dataobs_,Pool,Horses,Sold_Price,City_Town_Code,Approx_SQFT,Bedrooms_Plus,Year_Built,__Bedrooms,__Bathrooms,__of_Interior_Levels,Exterior_Stories,Elementary_School,Jr__High_School,High_School,Elem_School_Dist__,High_School_Dist__,Approx_Lot_SqFt,Dwelling_Styles,Loan_Type
1,Community,N,303500,Chandler,1105,2,1986,2,2,1,1,Rudy G. Bologna,Willis,Perry,80,80,4726,Detached,Other
2,Private,N,542000,Tempe,1785,4,1964,4,2,1,1,Hudson,McKemy,McClintock,3,213,7161,Detached,Cash
4,None,N,315000,Chandler,1677,5,1961,3,2,1,1,Chandler High,Hartford Sylvia Enci,Chandler High,80,80,7784,Detached,Cash
5,Private,N,431250,Tempe,3082,6,1971,6,3.75,3,2,Arredondo Elem,Connolly,McClintock,3,213,7457,Detached,Cash
6,None,N,595000,Scottsdale,1592,4,1985,4,2,1,1,Sandpiper,Desert Shadows Scott,Horizon School,69,69,6648,Detached,Cash
7,Community,N,910000,Scottsdale,2452,4,1995,3,2.5,1,1,Desert Canyon,Desert Canyon Middle,Desert Mountain High,48,48,8075,Detached,Cash
8,Private,N,736000,Chandler,4106,7,2000,5,3.5,2,2,Chandler High,Bogle Junior High,Perry,80,80,10837,Detached,Cash
9,Private,N,639000,Chandler,2022,4,1998,4,2,1,1,John M. Andersen,John M Andersen Jr H,Chandler High,80,80,11748,Detached,Cash
10,Community,N,540000,Tempe,1592,3,1990,3,2,1,1,Kyrene de la Maripos,Kyrene del Pueblo,Corona del Sol,28,213,4321,Detached,Conventional
11,None,N,495000,Scottsdale,1360,2,1987,2,2,1,1,Anasazi Elementary,Mountainside,Desert Mountain High,48,48,6376,Detached,Cash
12,None,N,319000,Chandler,1242,3,1995,3,1.5,1,1,Sanborn,Chandler High,Chandler High,80,80,5530,Detached,Other
13,Private,N,590000,Chandler,2045,3,1994,3,2,1,1,Frye,Hamilton,Willis,80,80,6970,Detached,Conventional
14,Community,N,415300,Tempe,1408,4,1984,3,2,2,2,Kyrene de los Ninos,Kyrene Middle,Corona del Sol,28,28,5040,Detached,Cash
15,None,N,390000,Chandler,1216,3,1983,3,2,1,1,Kyrene del Sureno,Kyrene Aprende,Corona del Sol,28,213,7858,Detached,Cash
17,Private,N,755500,Tempe,2012,3,1962,3,2,1,1,Laird,McKemy,McClintock,3,213,7950,Detached,Other
18,Private,N,675000,Scottsdale,1350,3,1960,3,2,1,1,Yavapai,Supai,Coronado High,48,48,6306,Detached,Conventional
19,Private,N,580000,Tempe,1572,3,1974,3,2,1,1,Fuller,Fees,Marcos De Niza,3,213,10084,Detached,Conventional
20,Private,N,1500000,Scottsdale,3053,5,1978,4,3,1,1,Sequoya,Cocopah,Chaparral High,48,48,35070,Detached,Cash
21,None,N,725000,Scottsdale,1689,3,1974,3,2,1,1,Kiva,Mohave,Saguaro High,48,48,8937,Detached,Cash
22,Private,N,605000,Scottsdale,2216,4,1984,3,2,1,1,Liberty Scottsdale,Sunrise Middle,Horizon School,69,69,10266,Detached,Cash
23,Private,N,515000,Tempe,2400,6,1970,4,3.5,2,2,Arredondo Elem,Connolly,McClintock,3,213,9457,Detached,Cash
25,Community,N,450000,Chandler,1445,3,1995,3,2,1,1,Rudy G. Bologna,Willis,Perry,80,80,4713,Detached,Cash
26,Community,N,1200000,Scottsdale,2408,4,1986,3,3,2,2,Cochise,Cochise,Chaparral High,48,48,4400,Detached,Cash
27,Private,N,545000,Scottsdale,1587,4,1971,4,2,1,1,Yavapai,Supai,Coronado High,48,48,7305,Detached,Cash
28,Private,N,850000,Scottsdale,2369,5,1971,4,3.5,3,3,Navajo,Mohave,Saguaro High,48,48,13425,Detached,Conventional
30,Private,N,1015000,Scottsdale,2274,3,2000,3,3,1,1,Black Mountain,Sonoran Trails,Cactus Shadows,93,93,12765,Detached,Other
31,None,N,600000,Scottsdale,2472,4,1991,3,2.5,2,2,North Ranch,Desert Shadows Scott,Horizon School,69,69,6267,Detached,Cash
32,Private,N,730000,Chandler,2985,4,2003,3,2.5,1,1,Jane D. Hull,Jane D Hull,Basha High,80,80,10752,Detached,Cash
35,Private,N,840000,Scottsdale,1772,4,1975,4,2.5,1,1,Sandpiper,Desert Shadows,Paradise Valley,69,69,10841,Detached,Conventional
36,Community,N,750000,Scottsdale,1671,4,1995,3,2,1,1,Black Mountain,Sonoran Trails,Cactus Shadows,93,93,6176,Detached,Conventional
37,Private,N,610000,Chandler,2166,4,1989,4,2.5,2,2,Shumway,Willis,Chandler High,80,80,6978,Detached,Conventional
38,Private,N,540000,Scottsdale,1409,3,1959,3,2,1,1,Yavapai,Supai,Coronado High,48,48,6938,Detached,Other
39,Community,N,452500,Chandler,1516,3,2002,2,2,1,1,Adult,Adult,Adult,0,0,6500,Detached,Conventional
40,Private,N,1350000,Scottsdale,2948,4,1983,4,3,1,1,Cochise,Cocopah,Chaparral High,48,48,10350,Detached,Conventional
41,Private,N,1000000,Scottsdale,2660,4,1994,4,2.5,1,1,Pinnacle Peak,Mountain Trail,Pinnacle,69,69,9063,Detached,Conventional
42,Private,N,802000,Scottsdale,2439,5,1973,5,2.5,1,1,Desert Shadows,Desert Shadows Scott,Horizon School,69,69,15907,Detached,Cash
43,Private,N,700000,Chandler,3363,6,2002,4,2.5,2,2,Navarrete,Willie & Coy Payne J,Basha High,80,80,9321,Detached,Conventional
44,Private,N,627500,Chandler,1843,4,1995,4,2,1,1,Robert and Danell Ta,Bogle Junior High,Hamilton,80,80,7222,Detached,VA
45,Private,N,600000,Tempe,1976,4,1998,4,2,1,1,Wood,Fees,Marcos De Niza,3,213,7253,Detached,Cash
46,Private,N,585000,Chandler,2029,4,1985,4,2,1,1,Chandler Traditional,John M Andersen Jr H,Chandler High,80,80,11901,Detached,Conventional
47,None,N,535000,Fountain Hills,1528,3,1996,3,2,1,1,Fountain Hills,Fountain Hills,Fountain Hills,98,98,9126,Detached,Conventional
49,Private,N,825000,Fountain Hills,2087,4,1998,4,2,1,1,Four Peaks Ftn Hills,Fountain Hills Middl,Fountain Hills,98,98,9970,Detached,Conventional
51,Both,N,760000,Scottsdale,1700,3,1997,3,2.5,2,2,Desert Canyon,Copper Ridge,Saguaro High,48,48,5103,Detached,Cash
53,Private,N,517000,Chandler,2666,4,1996,4,2,1,1,Ann Marie Jacobson,Bogle Junior High,Hamilton,80,80,7309,Detached,Cash
54,None,N,450000,Scottsdale,1038,2,1966,2,1.75,1,1,Pima,Tonalea,Coronado High,48,48,7673,Detached,Conventional
55,Private,N,445000,Chandler,1684,3,1998,3,2,1,1,Galveston,Willis,Chandler High,80,80,5358,Detached,Conventional
56,None,N,410000,Chandler,1269,3,1974,3,2,1,1,Galveston,Willis,Chandler High,80,80,7096,Detached,FHA
57,Private,N,830000,Scottsdale,1628,3,1994,3,2,1,1,Copper Ridge,Copper Ridge,Saguaro,48,48,5481,Detached,Other
58,Community,N,575000,Chandler,1597,3,1992,3,2,1,1,Rudy G. Bologna,Willis,Perry,80,80,4892,Detached,Conventional
59,Private,N,545000,Fountain Hills,1470,3,1995,3,2,1,1,McDowell Mountain,Fountain Hills Middl,Fountain Hills,98,98,12323,Detached,Conventional
60,Private,N,529000,Tempe,1599,3,1972,3,2,1,1,Fuller,Fees,McClintock,3,213,8769,Detached,Cash
63,None,N,349000,Tempe,1334,3,1978,2,1,1,1,Frank Elementary Sch,Gililland,Tempe High School,3,213,6003,Detached,FHA
64,Community,N,1400000,Scottsdale,2232,4,1993,3,3,1,1,Cochise,Cocopah,Chaparral High,48,48,7497,Detached,Cash
65,None,N,1150000,Scottsdale,2853,3,1994,2,2.5,1,1,Black Mountain,Sonoran Trails,Cactus Shadows,93,93,22987,Detached,Cash
66,Private,N,1100000,Scottsdale,2875,4,2005,4,3.5,1,1,Anasazi Elementary,Mountainside,Desert Mountain High,48,48,9904,Detached,Conventional
68,Private,N,998000,Scottsdale,2026,4,1972,4,2,1,1,Sequoya,Cocopah,Chaparral High,48,48,10348,Detached,Conventional
70,Private,N,802000,Scottsdale,1794,3,1983,3,2,1,1,Liberty Scottsdale,Sunrise Middle,Horizon School,69,69,9353,Detached,Conventional
71,None,N,608000,Scottsdale,1651,2,1986,2,2,1,1,Redfield Elementary,Desert Canyon Middle,Desert Mountain High,48,48,6128,Detached,Cash
72,Private,N,559000,Fountain Hills,1497,3,1986,3,2,1,1,McDowell Mountain,Fountain Hills Middl,Fountain Hills,98,98,10398,Detached,Cash
73,Private,N,549999,Chandler,1706,3,1998,3,2,1,1,Ann Marie Jacobson,Bogle Junior High,Hamilton,80,80,5490,Detached,Conventional
74,Private,N,1400000,Scottsdale,3239,5,1997,4,3.5,1,1,Pinnacle Peak,Mountain Trail,Pinnacle,69,69,9200,Detached,Conventional
75,Private,N,785000,Tempe,2279,4,1994,4,2,1,1,Kyrene de las Manita,Kyrene del Pueblo,Mountain Pointe,28,213,8599,Detached,Conventional
76,None,N,765000,Scottsdale,2114,5,1989,3,2,1,1,Desert Springs,Desert Shadows Scott,Horizon School,69,69,7045,Detached,Conventional
77,Community,N,710000,Scottsdale,2396,4,1991,3,3.5,2,2,Pinnacle Peak,Mountain Trail,Pinnacle,69,69,5088,Detached,Cash
78,Community,N,1100000,Scottsdale,2300,3,1995,3,3,1,1,Sonoran Sky Scotts,Desert Shadows,Horizon,69,69,6000,Detached,Cash
80,Private,N,810000,Tempe,1740,3,1950,3,2,1,1,Broadmor Elementary,Connolly,Tempe High School,3,213,20369,Detached,Conventional
81,None,N,800000,Chandler,2943,6,2007,5,2.5,1,1,Ira A. Fulton,Bogle Junior High,Hamilton,80,80,9116,Detached,Cash
82,Private,N,780000,Tempe,1997,4,1983,3,2,1,1,Kyrene de los Ninos,Kyrene Middle,Corona del Sol,28,213,9405,Detached,VA
84,None,N,685000,Scottsdale,1465,3,1957,3,2,1,1,Kiva,Mohave,Saguaro High,48,48,7207,Detached,Other
85,None,N,562500,Scottsdale,1560,3,1960,3,2,1,1,Cochise,Mohave,Saguaro High,48,48,7304,Detached,Cash
86,None,N,560000,Tempe,1755,5,1961,4,3,1,1,Scales,Gililland,Tempe High School,3,213,6103,Detached,Conventional
87,None,N,482000,Scottsdale,1040,3,1958,3,2,1,1,Pima,Supai,Coronado High,48,48,10197,Detached,Other
89,Both,N,459000,Tempe,1660,3,1978,3,2,1,1,Rover,Fees,Marcos De Niza,3,213,6303,Detached,Cash
90,None,N,425000,Chandler,1262,3,1980,3,2,1,1,Sirrine,Hendrix,Dobson,4,4,6747,Detached,Conventional
91,None,N,395000,Chandler,1326,3,1981,2,2,1,1,John M. Andersen,John M Andersen Jr H,Chandler High,80,80,4848,Detached,Cash
92,Community,N,388000,Chandler,1129,2,1994,2,2,1,1,Adult,Adult,Adult,80,80,3724,Detached,Cash
93,None,N,375000,Chandler,1327,3,1986,3,2,2,2,Kyrene de las Brisas,Kyrene Aprende,Corona del Sol,28,213,4909,Detached,Cash
94,None,N,325000,Tempe,1292,3,1972,3,2,1,1,Carminati,McKemy,Tempe High School,3,213,6486,Detached,Cash
95,None,N,1300000,Scottsdale,2545,5,1979,4,2.5,1,1,Anasazi Elementary,Mountainside High,Desert Mountain High,48,48,35806,Detached,Conventional
99,Private,N,895000,Chandler,3890,6,1992,5,3.5,2,2,Kyrene del Cielo,Kyrene Aprende,Corona del Sol,28,213,9104,Detached,Conventional
100,Both,N,825000,Scottsdale,2236,5,1993,3,2.5,2,2,Redfield Elementary,Desert Canyon,Desert Mountain High,48,48,5750,Detached,Cash
101,None,N,750000,Scottsdale,2342,4,2022,4,2,1,1,Desert Sun,Sonoran Trails,Cactus Shadows,93,93,79952,Detached,Conventional
102,Private,N,690000,Scottsdale,1816,3,1992,3,2,1,1,Redfield Elementary,Desert Canyon Middle,Desert Mountain High,48,48,7277,Detached,Conventional
103,Private,N,575999,Tempe,1631,3,1973,3,2,1,1,Rover,Fees,Marcos De Niza,3,213,7806,Detached,VA
106,None,N,525000,Scottsdale,1506,4,1957,3,2,1,1,Tonalea,Tonalea,Coronado High,48,48,7459,Detached,Cash
107,None,N,489000,Tempe,1432,3,1974,3,2,1,1,Fuller,Fees,Marcos De Niza,3,213,6303,Detached,VA
108,Private,N,475250,Chandler,1396,3,1994,3,2,1,1,CTA Humphrey,Willis,Basha High,80,80,8120,Detached,FHA
109,Private,N,472000,Chandler,1329,3,1995,3,2,1,1,Galveston,Willis,Chandler High,80,80,5001,Detached,Cash
110,None,N,385000,Tempe,2027,4,1978,3,3,1,1,Wood,Fees,Marcos De Niza,3,3,9710,Detached,Cash
111,Community,N,275000,Chandler,1116,3,1986,3,2,1,1,San Marcos,Bogle Junior High,Chandler High,80,80,1620,Detached,Conventional
112,Private,N,995000,Scottsdale,2429,4,1992,4,2,1,1,Desert Springs,Desert Shadows Scott,Horizon School,69,69,9395,Detached,Conventional
113,Private,N,900000,Scottsdale,2055,3,1970,3,2,1,1,Desert Shadows,Desert Shadows Scott,Horizon School,69,69,24032,Detached,Other
114,Private,N,900000,Scottsdale,1932,4,1957,4,3,1,1,Yavapai,Hohokam Middle Schoo,Coronado High,48,48,7278,Detached,Conventional
115,Community,N,855000,Scottsdale,2235,4,1999,3,3,1,1,Desert Canyon,Desert Canyon Middle,Desert Mountain High,48,48,7113,Detached,Cash
116,Private,N,850000,Chandler,2791,4,2000,4,2,1,1,Santan Elementary,Santan Junior High,Basha High,80,80,9995,Detached,Conventional
118,Private,N,695000,Chandler,3596,7,2004,6,3.5,2,2,Navarrete,Willie & Coy Payne J,Basha High,80,80,9177,Detached,Conventional
119,Private,N,692500,Scottsdale,1832,3,1983,3,2,1,1,Kiva,Mohave,Saguaro High,48,48,7843,Detached,Cash
120,Private,N,680000,Tempe,2320,5,1969,4,3.5,3,2,Hudson,Connolly,McClintock,3,213,9858,Detached,Conventional
121,None,N,675000,Scottsdale,1433,3,1958,3,2,1,1,Navajo,Tonalea,Coronado High,48,48,6769,Detached,Cash
122,Private,N,648000,Tempe,2211,6,1968,4,2.5,1,1,Ward,Connolly,McClintock,3,213,13103,Detached,Conventional
124,Community,N,430000,Chandler,1372,3,1985,3,2,1,1,Kyrene del Cielo,Kyrene Aprende,Corona del Sol,28,213,5158,Detached,Conventional
125,Both,N,1400000,Scottsdale,2257,3,2000,3,2,1,1,Copper Ridge,Copper Ridge,Chaparral High,48,48,6765,Detached,Conventional
127,Private,N,1150000,Scottsdale,2652,5,2005,4,3.5,1,1,Anasazi Elementary,Mountainside,Desert Mountain High,48,48,6204,Detached,Conventional
129,Private,N,875000,Scottsdale,1998,3,1996,3,2,1,1,Desert Willow Cave,Sonoran Trails,Cactus Shadows,93,93,6551,Detached,Cash
130,Private,N,779000,Chandler,2844,6,2004,5,2.5,1,1,Jane D. Hull,Santan Junior High,Basha High,80,80,9577,Detached,Conventional
131,Private,N,690000,Fountain Hills,1853,4,1999,4,2,1,1,Fountain Hills,Fountain Hills,Fountain Hills,98,98,7018,Detached,Conventional
132,Both,N,620000,Chandler,1963,4,1993,4,2,1,1,Ann Marie Jacobson,Bogle Junior High,Hamilton,80,80,6747,Detached,Conventional
133,None,N,432000,Chandler,1413,3,1983,3,2,1,1,John M. Andersen,John R Davis,CTA Humphrey,80,80,7153,Detached,Cash
135,None,N,345000,Tempe,1314,4,1951,3,1,1,1,Scales,Gililland,Tempe High School,3,3,5528,Detached,Conventional
136,Private,N,1500000,Scottsdale,2900,5,1980,5,2.5,1,1,Sequoya,Cocopah,Chaparral High,48,48,26603,Detached,Conventional
137,Private,N,1050000,Chandler,3452,4,2006,4,3.5,1,1,John & Carol Carlson,Willie & Coy Payne J,Basha High,80,80,13419,Detached,Cash
138,Community,N,458500,Chandler,1258,3,1998,2,2,1,1,Adult,Adult,Adult,0,0,6504,Detached,Conventional
140,Private,N,600000,Chandler,1511,4,1987,4,2,1,1,Kyrene de la Paloma,Kyrene del Pueblo,Corona del Sol,28,213,10707,Detached,Other
142,Private,N,875000,Scottsdale,2032,3,1999,3,1.75,1,1,Pinnacle Peak,Mountain Trail,Pinnacle,69,69,7150,Detached,Conventional
143,Private,N,635000,Chandler,2152,4,1998,3,2,1,1,Ann Marie Jacobson,Bogle Junior High,Hamilton,80,80,7900,Detached,Conventional
144,None,N,595000,Chandler,1972,4,1993,4,2,1,1,Kyrene de la Paloma,Kyrene del Pueblo,Corona del Sol,28,213,6913,Detached,Conventional
145,None,N,508850,Chandler,1660,3,1991,3,2,1,1,Shumway,Willis,Chandler High,80,80,7218,Detached,Conventional
146,None,N,475000,Chandler,1424,3,1979,3,2,1,1,Pomeroy,Hendrix,Dobson,4,4,7710,Detached,Conventional
147,None,N,377000,Chandler,1327,3,1986,3,2,2,2,Kyrene del Sureno,Pueblo del Sol,Corona del Sol,28,213,4988,Detached,Cash
148,Private,N,1000000,Scottsdale,2455,4,1971,3,2,1,1,Desert Shadows,Desert Shadows Scott,Horizon School,69,69,26666,Detached,Cash
149,Private,N,885000,Scottsdale,2058,4,1996,4,2,1,1,Grayhawk,Mountain Trail,Pinnacle,69,69,8800,Detached,Exchange
150,Private,N,875000,Scottsdale,1777,3,1989,3,2,1,1,Laguna,Mountainside,Desert Mountain High,48,48,7022,Detached,Cash
151,None,N,799000,Scottsdale,1878,4,1957,4,2,1,1,Pima,Supai,Coronado High,48,48,6295,Detached,Conventional
152,Private,N,750000,Tempe,2004,4,1975,4,2,1,1,Fuller,Fees,Marcos De Niza,3,213,9100,Detached,Conventional
153,Community,N,675000,Scottsdale,1347,3,1997,3,2,1,1,Desert Canyon,Copper Canyon,Saguaro High,48,48,4805,Detached,Conventional
154,None,N,639000,Scottsdale,1674,5,1957,5,2,1,1,Pima,Supai,Coronado High,48,48,6560,Detached,Cash
155,Community,N,635000,Chandler,2056,5,2019,3,2.5,2,2,Kyrene de las Manita,Kyrene del Pueblo,Mountain Pointe,28,213,3319,Detached,Cash
156,Private,N,611000,Scottsdale,1373,3,1960,3,1.75,1,1,Hohokam Scottsdale,Tonalea,Coronado High,48,48,7081,Detached,Cash
157,None,N,599000,Chandler,2080,4,1996,3,2,1,1,Robert and Danell Ta,Bogle Junior High,Hamilton,80,80,10437,Detached,Conventional
160,None,N,520000,Tempe,1672,4,1967,4,2,1,1,Meyer,McKemy,McClintock,2,213,8141,Detached,Cash
161,None,N,500000,Chandler,1472,3,1997,3,2,1,1,Sanborn,Willis,Chandler High,80,80,6486,Detached,Conventional
162,None,N,452500,Chandler,1612,3,1985,3,2,2,2,Kyrene del Sureno,Kyrene Aprende,Corona del Sol,28,213,4953,Detached,Cash
164,Private,N,430000,Tempe,1579,4,1994,4,3,2,2,Kyrene del Norte,Kyrene Middle,Marcos De Niza,28,213,7699,Detached,Cash
166,None,N,380000,Chandler,1337,3,1985,2,2,1,1,Kyrene de las Brisas,Kyrene Aprende,Corona del Sol,28,213,5175,Detached,Conventional
167,None,N,1200000,Scottsdale,3600,4,1981,4,2,1,1,Sequoya,Cocopah,Chaparral High,48,48,34995,Detached,Other
168,None,N,845000,Chandler,2694,4,1996,4,2,1,1,Ann Marie Jacobson,Bogle Junior High,Hamilton,80,80,14719,Detached,Conventional
170,Private,N,748000,Chandler,2284,6,2016,4,3,1,1,Audrey and Robert Ry,Willie & Coy Payne J,Perry,80,80,7980,Detached,Cash
171,Private,N,719000,Scottsdale,1540,3,1960,3,2,1,1,Hohokam Scottsdale,Supai,Coronado High,48,48,7382,Detached,Conventional
172,Private,N,715000,Chandler,2233,4,2012,4,2.5,1,1,Haley Elementary,Santan Junior High,Perry,80,80,8494,Detached,Conventional
173,None,N,600000,Fountain Hills,1516,3,1987,3,2,1,1,McDowell Mountain,Fountain Hills Middl,Fountain Hills,98,98,11121,Detached,Cash
174,Community,N,590000,Tempe,1794,3,1988,3,2,1,1,Kyrene de la Maripos,Kyrene del Pueblo,Corona del Sol,28,213,5297,Detached,Conventional
175,Private,N,566700,Chandler,1951,4,1988,3,3,2,2,Dr. Howard K. Conley,John M Andersen Jr H,Hamilton,80,80,6225,Detached,Cash
176,None,N,455000,Chandler,1343,3,1982,3,2,1,1,John M. Andersen,John M Andersen Jr H,Chandler High,80,80,7096,Detached,Cash
177,Both,N,1400000,Scottsdale,2093,3,1998,3,2,1,1,Copper Ridge,Copper Ridge Middle,Chaparral High,48,48,7220,Detached,Cash
178,Both,N,1325000,Scottsdale,2936,4,1999,4,2.5,1,1,Desert Canyon,Desert Canyon Middle,Desert Mountain High,48,48,11369,Detached,Conventional
179,Private,N,1100000,Scottsdale,2242,3,1981,3,2.5,1,1,Kiva,Mohave,Saguaro High,48,48,8864,Attached,Cash
181,Community,N,685000,Scottsdale,2200,3,1994,2,2.5,1,1,Laguna,Mountainside,Desert Mountain High,48,48,5250,Detached,Cash
182,Private,N,685000,Scottsdale,1415,3,1983,3,2,1,1,Desert Springs,Desert Shadows Scott,Horizon,69,69,6663,Detached,Cash
185,Both,N,630000,Tempe,2311,3,1973,3,2,2,2,Rover,Fees,Marcos De Niza,3,213,6303,Detached,Conventional
186,Private,N,618000,Chandler,1832,4,1993,4,2,1,1,Kyrene de la Mirada,Kyrene del Pueblo,Corona del Sol,28,213,7553,Detached,Conventional
187,None,N,556500,Tempe,2342,5,1995,4,2.5,2,2,Kyrene de los Ninos,Kyrene Middle,Marcos De Niza,28,213,4735,Detached,Conventional
188,None,N,555000,Scottsdale,1611,3,1998,3,2.5,2,2,Redfield Elementary,Desert Canyon Middle,Desert Mountain High,48,48,2790,Detached,Conventional
189,None,N,549000,Chandler,1918,4,2000,3,2,1,1,Rudy G. Bologna,Willis,Hamilton,80,80,7332,Detached,Conventional
190,None,N,500000,Tempe,1674,3,1983,3,2,1,1,Kyrene de la Maripos,Kyrene Middle,Marcos De Niza,28,213,7897,Detached,Conventional
192,None,N,1150000,Scottsdale,2941,5,2000,4,3,1,1,Pinnacle Peak,Mountain Trail,Pinnacle,69,69,7405,Detached,Other
193,Private,N,999000,Scottsdale,1969,4,1977,4,2,1,1,Paradise Valley,Desert Shadows,Paradise Valley,69,69,15100,Detached,Conventional
195,Private,N,786000,Chandler,2438,4,2009,3,2.5,1,1,San Tan,Santan Junior High,Perry,80,80,9460,Detached,Conventional
196,Private,N,759000,Fountain Hills,1803,4,1976,3,2,1,1,Fountain Hills,Fountain Hills,Fountain Hills,98,98,10990,Detached,Conventional
197,Private,N,750000,Scottsdale,1970,3,1966,3,2,1,1,Pueblo,Mohave,Saguaro High,48,48,7683,Detached,Cash
199,Private,N,590000,Tempe,2172,5,1974,5,2,1,1,Kyrene del Norte,Kyrene Middle,Marcos De Niza,28,213,8621,Detached,Conventional
200,Private,N,505000,Tempe,1402,4,1971,4,2,1,1,Aguilar,Fees,Marcos De Niza,3,213,6508,Detached,Conventional
204,Private,N,1400000,Scottsdale,4159,5,1995,5,3.75,1,1,Anasazi Elementary,Mountainside,Desert Mountain,48,48,16305,Detached,Exchange
206,None,N,746500,Chandler,2704,6,2013,4,3.5,2,2,T. Dale Hancock,Bogle Junior High,Hamilton,80,80,6084,Detached,Conventional
207,Community,N,675000,Scottsdale,1606,4,1998,3,2,1,1,Copper Ridge,Copper Ridge,Desert Mountain,48,48,4950,Detached,Cash
208,Private,N,636000,Scottsdale,1174,2,1983,2,2,1,1,Sandpiper,Desert Shadows Scott,Horizon School,69,69,8459,Detached,Conventional
209,Private,N,495000,Chandler,1570,3,1986,3,2,1,1,Kyrene del Milenio,Kyrene Del Sureno,Corona del Sol,28,213,7079,Detached,Conventional
210,None,N,489000,Chandler,1717,4,1983,3,2,1,1,Kyrene de la Paloma,Kyrene del Pueblo,Mountain Pointe,28,213,7784,Detached,Other
211,None,N,450000,Chandler,1272,3,2005,3,2,1,1,Rudy G. Bologna,John M Andersen Jr H,Chandler High,80,80,5400,Detached,Cash
212,Community,N,420000,Chandler,1728,4,2000,3,2.5,2,2,Rudy G. Bologna,Willis,Perry,80,80,3487,Detached,Cash
213,Private,N,378000,Chandler,2000,3,1973,3,2,1,1,Hartford Sylvia Enci,Willis,Chandler High,80,80,8381,Detached,Cash
214,Private,N,950000,Scottsdale,2826,4,1991,3,2.5,2,2,Desert Sun,Sonoran Trails,Cactus Shadows,93,93,8440,Detached,Conventional
215,Private,N,940000,Scottsdale,2347,4,1979,4,3,1,1,Liberty Scottsdale,Sunrise,Horizon,69,69,14431,Detached,Other
216,None,N,625000,Scottsdale,1508,3,1981,3,2,1,1,Anasazi Elementary,Mountainside,Desert Mountain High,48,48,6755,Detached,Conventional
217,None,N,575000,Scottsdale,1126,3,1959,3,2,1,1,Tonalea,Supai,Coronado High,48,48,7836,Detached,Conventional
218,None,N,525000,Tempe,1700,3,1972,3,3,2,2,Fuller,Fees,McClintock,3,213,8246,Detached,Conventional
219,Private,N,500000,Chandler,2051,6,2000,4,3,1,1,Hartford Sylvia Enci,John M Andersen Jr H,Chandler High,80,80,8241,Detached,Cash
220,None,N,470000,Chandler,1312,3,2003,3,2,1,1,Islands,Mesquite Gilbert,Mesquite High,41,41,4225,Detached,Cash
221,None,N,409000,Chandler,1133,3,1984,3,2,1,1,Summit Academy,Summit Academy,Dobson,4,4,5275,Detached,Conventional
222,Community,N,312000,Chandler,974,2,1992,2,2,1,1,Adult,Adult,Adult,80,80,2949,Detached,Conventional
223,Community,N,1160000,Scottsdale,2476,3,1996,3,3,1,1,Grayhawk,Mountain Trail,Pinnacle,69,69,6477,Detached,Cash
224,None,N,834200,Scottsdale,2035,3,1997,3,2,1,1,Grayhawk,Mountain Trail,Pinnacle,69,69,6250,Detached,Conventional
225,Private,N,625000,Tempe,2054,4,1977,4,2,1,1,Ward,McClintock,Tempe High School,3,213,8947,Detached,Conventional
226,Private,N,550000,Chandler,2253,4,1983,4,2,1,1,Sirrine,Hendrix,Dobson,4,4,9400,Detached,Conventional
227,None,N,530000,Fountain Hills,2014,3,1984,3,2,1,1,McDowell Mountain,Fountain Hills Middl,Fountain Hills,98,98,14209,Detached,Cash
228,Community,N,505000,Chandler,1673,3,1986,3,2.5,2,2,John M. Andersen,John M Andersen Jr H,Chandler High,80,80,4495,Detached,Conventional
229,None,N,455000,Chandler,1159,3,2000,3,2,1,1,Rudy G. Bologna,Bogle Junior High,Perry,80,80,3262,Detached,Cash
230,Both,N,1350000,Scottsdale,2958,4,1997,4,3.5,1,1,Desert Canyon,Desert Canyon Middle,Desert Mountain High,48,48,12495,Detached,Cash
231,Private,N,1250000,Scottsdale,3488,5,1999,4,3.5,1,1,Pinnacle Peak,Mountain Trail,Pinnacle,69,69,31791,Detached,Conventional
233,Private,N,1200000,Scottsdale,2882,4,1980,3,2.5,1,1,Cochise,Cocopah,Chaparral High,48,48,10526,Detached,Conventional
235,Private,N,949000,Tempe,2952,6,1984,4,3,1,1,C. I. Waggoner,Kyrene Middle,Corona del Sol,28,213,11892,Detached,Conventional
237,None,N,905000,Scottsdale,2666,5,1955,4,3,1,1,Tavan,Ingleside,Arcadia High,48,48,6885,Detached,Cash
238,Private,N,890000,Chandler,3189,6,2016,4,3.5,2,2,Haley Elementary,Santan Junior High,Perry,80,80,7825,Detached,Other
239,Community,N,800000,Tempe,2970,5,2017,4,3.5,2,2,Kyrene de las Manita,Kyrene del Pueblo,Mountain Pointe,28,213,4500,Detached,Conventional
240,None,N,715000,Scottsdale,1618,4,1974,4,2,1,1,Kiva,Mohave,Saguaro High,48,48,6806,Detached,Cash
241,Private,N,679000,Tempe,2183,4,1973,4,2,1,1,Rover,Fees,Marcos De Niza,3,213,8276,Detached,Conventional
242,Private,N,675000,Chandler,2322,4,2000,3,2,1,1,Rudy G. Bologna,Santan Junior High,Perry,80,80,7753,Detached,Conventional
243,Both,N,660000,Chandler,2067,4,2018,3,3.5,3,3,Kyrene de las Manita,Kyrene del Pueblo,Mountain Pointe,28,213,2205,Detached,Conventional
